package	own_source_loc_rust	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
sys-power/wluma-4.9.0	4084	81	1373	1454	66	OK	./.upstream-cache/wluma-4.9.0/src/predictor/data.rs:35:    pub fn save(&self) -> Result<(), Box<dyn Error>> {|./.upstream-cache/wluma-4.9.0/src/predictor/data.rs:39:    fn read_file(path: PathBuf) -> Result<File, Box<dyn Error>> {|./.upstream-cache/wluma-4.9.0/src/predictor/data.rs:48:    fn write_file(&self) -> Result<File, Box<dyn Error>> {|
sys-power/wluma-4.4.0-r2	2732	62	976	1038	63	OK	./.upstream-cache/wluma-4.4.0/src/predictor/controller.rs:217:    fn setup() -> Result<(Controller, Sender<u64>, Receiver<u64>), Box<dyn Error>> {|./.upstream-cache/wluma-4.4.0/src/predictor/controller.rs:228:    fn test_process_first_user_change() -> Result<(), Box<dyn Error>> {|./.upstream-cache/wluma-4.4.0/src/predictor/controller.rs:242:    fn test_process_several_continuous_user_changes() -> Result<(), Box<dyn Error>> {|
sys-power/wluma-4.3.0-r3	2662	62	675	737	49	OK	./.upstream-cache/wluma-4.3.0/src/predictor/controller.rs:217:    fn setup() -> Result<(Controller, Sender<u64>, Receiver<u64>), Box<dyn Error>> {|./.upstream-cache/wluma-4.3.0/src/predictor/controller.rs:228:    fn test_process_first_user_change() -> Result<(), Box<dyn Error>> {|./.upstream-cache/wluma-4.3.0/src/predictor/controller.rs:242:    fn test_process_several_continuous_user_changes() -> Result<(), Box<dyn Error>> {|
