ebuild	crate	version	dyn_dispatch_count	sample_matches
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	futures-task	0.3.21	46	./crates-cache/futures-task-0.3.21/src/future_obj.rs:17:    future: *mut (dyn Future<Output = T> + 'static),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:18:    drop_fn: unsafe fn(*mut (dyn Future<Output = T> + 'static)),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:30:    ptr: *mut (dyn Future<Output = T> + 'a),|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.3.ebuild	futures-task	0.3.21	46	./crates-cache/futures-task-0.3.21/src/future_obj.rs:17:    future: *mut (dyn Future<Output = T> + 'static),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:18:    drop_fn: unsafe fn(*mut (dyn Future<Output = T> + 'static)),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:30:    ptr: *mut (dyn Future<Output = T> + 'a),|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.2.ebuild	futures-task	0.3.21	46	./crates-cache/futures-task-0.3.21/src/future_obj.rs:17:    future: *mut (dyn Future<Output = T> + 'static),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:18:    drop_fn: unsafe fn(*mut (dyn Future<Output = T> + 'static)),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:30:    ptr: *mut (dyn Future<Output = T> + 'a),|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.1.ebuild	futures-task	0.3.21	46	./crates-cache/futures-task-0.3.21/src/future_obj.rs:17:    future: *mut (dyn Future<Output = T> + 'static),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:18:    drop_fn: unsafe fn(*mut (dyn Future<Output = T> + 'static)),|./crates-cache/futures-task-0.3.21/src/future_obj.rs:30:    ptr: *mut (dyn Future<Output = T> + 'a),|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	clap_builder	4.3.11	40	./crates-cache/clap_builder-4.3.11/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:71:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:252:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.3.ebuild	clap_builder	4.3.11	40	./crates-cache/clap_builder-4.3.11/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:71:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:252:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.2.ebuild	clap_builder	4.3.11	40	./crates-cache/clap_builder-4.3.11/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:71:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:252:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.1.ebuild	clap_builder	4.3.11	40	./crates-cache/clap_builder-4.3.11/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:71:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.3.11/src/builder/value_parser.rs:252:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	futures	0.3.21	30	./crates-cache/futures-0.3.21/tests/stream_futures_unordered.rs:97:        Box::new(a_rx) as Box<dyn Future<Output = Result<_, _>> + Unpin>,|./crates-cache/futures-0.3.21/tests/auto_traits.rs:15:pub type LocalFuture<T = *const ()> = Pin<Box<dyn Future<Output = T>>>;|./crates-cache/futures-0.3.21/tests/auto_traits.rs:17:pub type SendFuture<T = *const ()> = Pin<Box<dyn Future<Output = T> + Send>>;|
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-1.13.3.ebuild	futures	0.3.21	30	./crates-cache/futures-0.3.21/tests/stream_futures_unordered.rs:97:        Box::new(a_rx) as Box<dyn Future<Output = Result<_, _>> + Unpin>,|./crates-cache/futures-0.3.21/tests/auto_traits.rs:15:pub type LocalFuture<T = *const ()> = Pin<Box<dyn Future<Output = T>>>;|./crates-cache/futures-0.3.21/tests/auto_traits.rs:17:pub type SendFuture<T = *const ()> = Pin<Box<dyn Future<Output = T> + Send>>;|
