futures	0.3.21	30	./crates-cache/futures-0.3.21/tests/stream_futures_unordered.rs:97:        Box::new(a_rx) as Box<dyn Future<Output = Result<_, _>> + Unpin>,|./crates-cache/futures-0.3.21/tests/auto_traits.rs:15:pub type LocalFuture<T = *const ()> = Pin<Box<dyn Future<Output = T>>>;|./crates-cache/futures-0.3.21/tests/auto_traits.rs:17:pub type SendFuture<T = *const ()> = Pin<Box<dyn Future<Output = T> + Send>>;|
hash32	0.2.1	0	|
hermit-abi	0.1.19	0	|
heck	0.4.1	0	|
hermit-abi	0.3.2	0	|
hostname	0.3.1	0	|
getrandom	0.2.15	0	|
heapless	0.7.16	1	./crates-cache/heapless-0.7.16/build.rs:7:fn main() -> Result<(), Box<dyn Error>> {||
humantime	2.1.0	0	|
is-terminal	0.4.9	0	|
itoa	1.0.2	0	|
futures-util	0.3.21	6	./crates-cache/futures-util-0.3.21/src/future/future/remote_handle.rs:71:type SendMsg<Fut> = Result<<Fut as Future>::Output, Box<(dyn Any + Send + 'static)>>;|./crates-cache/futures-util-0.3.21/src/future/future/catch_unwind.rs:32:    type Output = Result<Fut::Output, Box<dyn Any + Send>>;|./crates-cache/futures-util-0.3.21/src/future/future/mod.rs:435:        assert_future::<Result<Self::Output, Box<dyn std::any::Any + Send>>, _>(CatchUnwind::new(|
libc	0.2.155	0	|
