./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	num_threads	0.1.6
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	once_cell	1.18.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	pin-project-lite	0.2.9
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	pin-utils	0.1.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	postcard	1.0.6
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	ppv-lite86	0.2.20
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	proc-macro2	1.0.63
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	quote	1.0.29
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	rand	0.8.5
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	rand_chacha	0.3.1
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	rand_core	0.6.4
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	range-traits	0.3.2
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	regex-syntax	0.6.27
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	regex	1.6.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	rustc_version	0.4.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	rustix	0.38.7
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	scopeguard	1.2.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	semver	1.0.18
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	serde	1.0.168
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	serde_derive	1.0.168
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	slab	0.4.7
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	smallvec	1.13.2
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	spin	0.9.8
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	stable_deref_trait	1.2.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	strsim	0.10.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	syn	1.0.98
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	syn	2.0.32
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	syslog	6.1.1
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	termcolor	1.1.3
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	thiserror-impl	1.0.41
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	thiserror	1.0.41
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	time	0.3.11
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	unicode-ident	1.0.2
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	utf8parse	0.2.1
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	uuid-macro-internal	1.11.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	uuid	1.11.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	version_check	0.9.4
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	vhost-user-backend	0.17.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	vhost	0.13.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	virtio-bindings	0.2.4
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	virtio-queue	0.14.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	vm-memory	0.16.0
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	vmm-sys-util	0.12.1
./gentoo-tree/app-emulation/virtiofsd/virtiofsd-9999.ebuild	wasi	0.11.0+wasi-snapshot-preview1
