package	category	distinct_crates_using_dyn	total_dyn_hits	crates
app-emulation/virtiofsd-9999	app-emulation	15	176	futures-task@0.3.21, clap_builder@4.3.11, futures@0.3.21, aho-corasick@0.7.18, anstyle@1.0.1, futures-util@0.3.21, env_logger@0.8.4, futures-executor@0.3.21, futures-core@0.3.21, arc-swap@1.5.0, anstream@0.3.2, futures-macro@0.3.21, error-chain@0.12.4, heapless@0.7.16, clap@4.3.11
app-emulation/virtiofsd-1.13.3	app-emulation	15	176	futures-task@0.3.21, clap_builder@4.3.11, futures@0.3.21, aho-corasick@0.7.18, anstyle@1.0.1, futures-util@0.3.21, env_logger@0.8.4, futures-executor@0.3.21, futures-core@0.3.21, arc-swap@1.5.0, anstream@0.3.2, futures-macro@0.3.21, error-chain@0.12.4, heapless@0.7.16, clap@4.3.11
app-emulation/virtiofsd-1.13.2	app-emulation	15	176	futures-task@0.3.21, clap_builder@4.3.11, futures@0.3.21, aho-corasick@0.7.18, anstyle@1.0.1, futures-util@0.3.21, env_logger@0.8.4, futures-executor@0.3.21, futures-core@0.3.21, arc-swap@1.5.0, anstream@0.3.2, futures-macro@0.3.21, error-chain@0.12.4, heapless@0.7.16, clap@4.3.11
app-emulation/virtiofsd-1.13.1	app-emulation	15	176	futures-task@0.3.21, clap_builder@4.3.11, futures@0.3.21, aho-corasick@0.7.18, anstyle@1.0.1, futures-util@0.3.21, env_logger@0.8.4, futures-executor@0.3.21, futures-core@0.3.21, arc-swap@1.5.0, anstream@0.3.2, futures-macro@0.3.21, error-chain@0.12.4, heapless@0.7.16, clap@4.3.11
