package	own_source_loc_rust	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
app-emulation/virtiofsd-1.13.3	18359	2	315	317	34	OK	./upstream-cache/virtiofsd-1.13.3/src/passthrough/xattrmap.rs:167:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {|./upstream-cache/virtiofsd-1.13.3/src/util.rs:165:pub fn other_io_error<E: Into<Box<dyn std::error::Error + Send + Sync>>>(err: E) -> io::Error {||
app-emulation/virtiofsd-1.13.2	18303	2	315	317	34	OK	./upstream-cache/virtiofsd-1.13.2/src/passthrough/xattrmap.rs:167:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {|./upstream-cache/virtiofsd-1.13.2/src/util.rs:165:pub fn other_io_error<E: Into<Box<dyn std::error::Error + Send + Sync>>>(err: E) -> io::Error {||
app-emulation/virtiofsd-1.13.1	18163	2	315	317	34	OK	./upstream-cache/virtiofsd-1.13.1/src/passthrough/xattrmap.rs:167:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {|./upstream-cache/virtiofsd-1.13.1/src/util.rs:165:pub fn other_io_error<E: Into<Box<dyn std::error::Error + Send + Sync>>>(err: E) -> io::Error {||
app-emulation/virtiofsd-9999	0	0	315	315	34	ERROR_DOWNLOAD(gitlab.com)	
