package	own_source_loc_rust	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
sys-process/below-0.11.0-r1	53202	31	1872	1903	102	OK	./.upstream-cache/below-0.11.0/below/dump/src/system.rs:36:        output: &mut dyn Write,|./.upstream-cache/below-0.11.0/below/dump/src/transport.rs:36:        output: &mut dyn Write,|./.upstream-cache/below-0.11.0/below/dump/src/tc.rs:24:        output: &mut dyn Write,|
sys-process/bottom-0.12.3	32855	4	1309	1313	106	OK	./.upstream-cache/bottom-0.12.3/tests/integration/valid_config_tests.rs:9:fn reader_to_string(mut reader: Box<dyn Read>) -> String {|./.upstream-cache/bottom-0.12.3/tests/integration/util.rs:111:pub fn spawn_btm_in_pty(args: &[&str]) -> (Box<dyn MasterPty>, Box<dyn Child>) {|./.upstream-cache/bottom-0.12.3/src/canvas/components/time_graph/vendored/canvas.rs:184:    grid: Box<dyn Grid>,|
sys-process/bottom-0.11.1	31652	4	861	865	80	OK	./.upstream-cache/bottom-0.11.1/tests/integration/valid_config_tests.rs:9:fn reader_to_string(mut reader: Box<dyn Read>) -> String {|./.upstream-cache/bottom-0.11.1/tests/integration/util.rs:111:pub fn spawn_btm_in_pty(args: &[&str]) -> (Box<dyn MasterPty>, Box<dyn Child>) {|./.upstream-cache/bottom-0.11.1/src/canvas/components/time_graph/base/time_chart/canvas.rs:182:    grid: Box<dyn Grid>,|
sys-process/procs-0.14.9	12988	9	1614	1623	118	OK	./.upstream-cache/procs-0.14.9/src/config.rs:92:    pub column: Box<dyn Column>,|./.upstream-cache/procs-0.14.9/src/columns/os_windows.rs:119:) -> Box<dyn Column> {|./.upstream-cache/procs-0.14.9/src/columns/os_freebsd.rs:185:) -> Box<dyn Column> {|
sys-process/procs-0.14.6-r1	12948	9	1807	1816	113	OK	./.upstream-cache/procs-0.14.6/src/config.rs:92:    pub column: Box<dyn Column>,|./.upstream-cache/procs-0.14.6/src/columns/os_windows.rs:117:) -> Box<dyn Column> {|./.upstream-cache/procs-0.14.6/src/columns/os_freebsd.rs:183:) -> Box<dyn Column> {|
