package	own_source_loc_rust	is_binary	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
dev-util/ty-0.0.7	569380	yes	1900	2183	4083	181	OK	./.upstream-cache/ty-0.0.7/crates/ty_test/src/db.rs:99:    fn system(&self) -> &dyn System {|./.upstream-cache/ty-0.0.7/crates/ty_test/src/db.rs:178:    fn as_system(&self) -> &dyn WritableSystem {|./.upstream-cache/ty-0.0.7/crates/ty_test/src/db.rs:293:        Box<dyn Iterator<Item = ruff_db::system::Result<ruff_db::system::DirectoryEntry>> + 'a>,|
dev-util/ruff-0.14.9	558745	yes	1845	0	1845	0	OK	./.upstream-cache/ruff-0.14.9/crates/ty_test/src/db.rs:65:    fn system(&self) -> &dyn System {|./.upstream-cache/ruff-0.14.9/crates/ty_test/src/db.rs:126:    fn as_system(&self) -> &dyn WritableSystem {|./.upstream-cache/ruff-0.14.9/crates/ty_test/src/db.rs:241:        Box<dyn Iterator<Item = ruff_db::system::Result<ruff_db::system::DirectoryEntry>> + 'a>,|
dev-python/uv-0.11.28	508504	yes	177	0	177	0	OK	./.upstream-cache/uv-0.11.28/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error, hints: Hints<'_>) -> fmt::Result {|./.upstream-cache/uv-0.11.28/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.28/crates/uv-settings/src/settings.rs:2910:    fn record(visit: &mut dyn uv_options_metadata::Visit) {|
dev-python/uv-0.11.27	507402	yes	176	0	176	0	OK	./.upstream-cache/uv-0.11.27/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error, hints: Hints<'_>) -> fmt::Result {|./.upstream-cache/uv-0.11.27/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.27/crates/uv-settings/src/settings.rs:2910:    fn record(visit: &mut dyn uv_options_metadata::Visit) {|
dev-python/uv-0.11.26	506014	yes	176	0	176	0	OK	./.upstream-cache/uv-0.11.26/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error) -> fmt::Result {|./.upstream-cache/uv-0.11.26/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.26/crates/uv-settings/src/settings.rs:2910:    fn record(visit: &mut dyn uv_options_metadata::Visit) {|
dev-python/uv-0.11.25	505779	yes	176	0	176	0	OK	./.upstream-cache/uv-0.11.25/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error) -> fmt::Result {|./.upstream-cache/uv-0.11.25/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.25/crates/uv-settings/src/settings.rs:2910:    fn record(visit: &mut dyn uv_options_metadata::Visit) {|
dev-python/uv-0.11.24	498237	yes	175	0	175	0	OK	./.upstream-cache/uv-0.11.24/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error) -> fmt::Result {|./.upstream-cache/uv-0.11.24/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.24/crates/uv-settings/src/settings.rs:2910:    fn record(visit: &mut dyn uv_options_metadata::Visit) {|
dev-python/uv-0.11.23	496771	yes	174	0	174	0	OK	./.upstream-cache/uv-0.11.23/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error) -> fmt::Result {|./.upstream-cache/uv-0.11.23/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.23/crates/uv-settings/src/settings.rs:2909:    fn record(visit: &mut dyn uv_options_metadata::Visit) {|
dev-python/uv-0.11.21	491530	yes	173	0	173	0	OK	./.upstream-cache/uv-0.11.21/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error) -> fmt::Result {|./.upstream-cache/uv-0.11.21/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.21/crates/uv-publish/src/lib.rs:593:                    (&err as &dyn std::error::Error).downcast_ref::<RetryError>()|
dev-python/uv-0.11.16	484717	yes	166	0	166	0	OK	./.upstream-cache/uv-0.11.16/crates/uv-warnings/src/lib.rs:87:    err: &dyn Error,|./.upstream-cache/uv-0.11.16/crates/uv-publish/src/lib.rs:593:                    (&err as &dyn std::error::Error).downcast_ref::<RetryError>()|./.upstream-cache/uv-0.11.16/crates/uv-publish/src/lib.rs:872:                            (&err as &dyn std::error::Error).downcast_ref::<RetryError>()|
dev-python/uv-0.11.19	484503	yes	168	0	168	0	OK	./.upstream-cache/uv-0.11.19/crates/uv-warnings/src/lib.rs:28:pub fn write_warning_chain(err: &dyn Error) -> fmt::Result {|./.upstream-cache/uv-0.11.19/crates/uv-warnings/src/lib.rs:33:    err: &dyn Error,|./.upstream-cache/uv-0.11.19/crates/uv-publish/src/lib.rs:593:                    (&err as &dyn std::error::Error).downcast_ref::<RetryError>()|
net-mail/stalwart-mail-0.16.12	404057	yes	22	0	22	0	OK	./.upstream-cache/stalwart-mail-0.16.12/tests/src/utils/http_server.rs:30:pub type HttpRequestHandler = Arc<dyn Fn(HttpMessage) -> HttpResponse + Sync + Send>;|./.upstream-cache/stalwart-mail-0.16.12/tests/src/jmap/compliance/mod.rs:245:fn panic_to_string(e: Box<dyn std::any::Any + Send>) -> String {|./.upstream-cache/stalwart-mail-0.16.12/crates/nlp/src/language/mod.rs:19:pub type LanguageTokenizer<'x> = Box<dyn Iterator<Item = Token<Cow<'x, str>>> + 'x + Sync + Send>;|
net-mail/stalwart-mail-0.16.11	400961	yes	21	0	21	0	OK	./.upstream-cache/stalwart-mail-0.16.11/tests/src/utils/http_server.rs:30:pub type HttpRequestHandler = Arc<dyn Fn(HttpMessage) -> HttpResponse + Sync + Send>;|./.upstream-cache/stalwart-mail-0.16.11/tests/src/jmap/compliance/mod.rs:245:fn panic_to_string(e: Box<dyn std::any::Any + Send>) -> String {|./.upstream-cache/stalwart-mail-0.16.11/crates/nlp/src/language/mod.rs:19:pub type LanguageTokenizer<'x> = Box<dyn Iterator<Item = Token<Cow<'x, str>>> + 'x + Sync + Send>;|
app-shells/nushell-0.114.0	394662	yes	397	0	397	0	OK	./.upstream-cache/nushell-0.114.0/tests/repl/tests.rs:8:pub type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.114.0/tests/integration/cli.rs:4:type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.114.0/crates/nu-protocol/src/engine/command.rs:207:    fn clone_box(&self) -> Box<dyn Command>;|
sys-apps/syd-3.57.0	379330	yes	34	0	34	0	OK	./.upstream-cache/syd-3.57.0/build.rs:16:fn main() -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/syd-3.57.0/rax/src/lib.rs:1775:    fn source(&self) -> Option<&(dyn error::Error + 'static)> {|./.upstream-cache/syd-3.57.0/src/utils/syd-oci.rs:412:    executor: Box<dyn Executor>,|
app-shells/nushell-0.113.0	372071	yes	376	0	376	0	OK	./.upstream-cache/nushell-0.113.0/tests/repl/tests.rs:8:pub type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.113.0/tests/integration/cli.rs:4:type TestResult = Result<(), Box<dyn std::error::Error>>;|./.upstream-cache/nushell-0.113.0/crates/nu-protocol/src/engine/command.rs:207:    fn clone_box(&self) -> Box<dyn Command>;|
