package	own_source_loc_rust	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
sys-kernel/scx-loader-1.1.1	1884	7	1525	1532	75	OK	./.upstream-cache/scx-loader-1.1.1/crates/scxctl/src/main.rs:10:fn cmd_get(scx_loader: &LoaderClientProxyBlocking) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.1.1/crates/scxctl/src/main.rs:53:) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.1.1/crates/scxctl/src/main.rs:83:) -> Result<(), Box<dyn std::error::Error>> {|
sys-kernel/scx-loader-1.1.0	1884	7	1231	1238	72	OK	./.upstream-cache/scx-loader-1.1.0/crates/scxctl/src/main.rs:10:fn cmd_get(scx_loader: &LoaderClientProxyBlocking) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.1.0/crates/scxctl/src/main.rs:53:) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.1.0/crates/scxctl/src/main.rs:83:) -> Result<(), Box<dyn std::error::Error>> {|
sys-kernel/scx-loader-1.0.20	1854	7	1086	1093	62	OK	./.upstream-cache/scx-loader-1.0.20/crates/scxctl/src/main.rs:10:fn cmd_get(scx_loader: &LoaderClientProxyBlocking) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.0.20/crates/scxctl/src/main.rs:53:) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.0.20/crates/scxctl/src/main.rs:83:) -> Result<(), Box<dyn std::error::Error>> {|
sys-kernel/scx-loader-1.0.19	1854	7	1073	1080	61	OK	./.upstream-cache/scx-loader-1.0.19/crates/scxctl/src/main.rs:10:fn cmd_get(scx_loader: &LoaderClientProxyBlocking) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.0.19/crates/scxctl/src/main.rs:53:) -> Result<(), Box<dyn std::error::Error>> {|./.upstream-cache/scx-loader-1.0.19/crates/scxctl/src/main.rs:83:) -> Result<(), Box<dyn std::error::Error>> {|
sys-kernel/virtme-ng-1.41	1487	0	12	12	2	OK	|
sys-kernel/udev-hid-bpf-2.2.0_p20251121	0	0	386	386	36	ERROR_DOWNLOAD(gitlab.freedesktop.org)	
