package	category	distinct_crates_using_dyn	total_dyn_hits	crates
app-shells/zoxide-0.9.9	app-shells	14	309	askama@0.14.0, anyhow@1.0.98, clap_complete@4.5.50, clap_builder@4.5.38, anstream@0.6.18, assert_cmd@2.0.17, aho-corasick@1.1.3, bstr@1.12.0, askama_derive@0.14.0, anstyle@1.0.10, anstyle-wincon@3.0.8, clap_complete_nushell@4.5.5, clap_complete_fig@4.5.2, clap@4.5.38
app-shells/zoxide-0.9.8	app-shells	14	309	askama@0.14.0, anyhow@1.0.98, clap_complete@4.5.50, clap_builder@4.5.38, anstream@0.6.18, assert_cmd@2.0.17, aho-corasick@1.1.3, bstr@1.12.0, askama_derive@0.14.0, anstyle@1.0.10, anstyle-wincon@3.0.8, clap_complete_nushell@4.5.5, clap_complete_fig@4.5.2, clap@4.5.38
app-shells/zoxide-0.9.4-r1	app-shells	12	185	anyhow@1.0.80, clap_builder@4.5.1, clap_complete@4.5.1, assert_cmd@2.0.14, anstream@0.6.12, aho-corasick@1.1.2, askama@0.12.1, bstr@1.9.0, anstyle@1.0.6, anstyle-wincon@3.0.2, clap_complete_fig@4.5.0, clap@4.5.1
app-shells/zoxide-0.9.6-r1	app-shells	12	179	anyhow@1.0.80, clap_builder@4.5.1, clap_complete@4.5.1, assert_cmd@2.0.14, anstream@0.6.12, aho-corasick@1.1.2, bstr@1.9.0, anstyle@1.0.6, ahash@0.8.11, anstyle-wincon@3.0.2, clap_complete_fig@4.5.0, clap@4.5.1
app-shells/zoxide-0.9.7	app-shells	12	178	anyhow@1.0.89, clap_complete@4.5.28, clap_builder@4.5.17, assert_cmd@2.0.16, anstream@0.6.15, aho-corasick@1.1.3, bstr@1.10.0, anstyle@1.0.8, ahash@0.8.11, anstyle-wincon@3.0.4, clap_complete_fig@4.5.2, clap@4.5.17
app-shells/mcfly-0.5.13-r1	app-shells	6	74	csv@1.1.3, aho-corasick@0.7.10, bstr@0.2.12, crossbeam-utils@0.7.2, arrayvec@0.5.1, base64@0.11.0
