adler32	1.2.0	0	|
anstream	0.6.12	14	./crates-cache/anstream-0.6.12/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.12/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.12/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstyle	1.0.0	7	./crates-cache/anstyle-1.0.0/src/style.rs:102:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.0/src/style.rs:137:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.0/src/effect.rs:165:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstream	0.6.18	28	./crates-cache/anstream-0.6.18/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.18/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.18/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstream	0.6.4	14	./crates-cache/anstream-0.6.4/src/wincon.rs:108:fn write(raw: &mut dyn RawStream, state: &mut WinconBytes, buf: &[u8]) -> std::io::Result<usize> {|./crates-cache/anstream-0.6.4/src/wincon.rs:122:fn write_all(raw: &mut dyn RawStream, state: &mut WinconBytes, buf: &[u8]) -> std::io::Result<()> {|./crates-cache/anstream-0.6.4/src/wincon.rs:145:    raw: &mut dyn RawStream,|
anstyle	1.0.10	7	./crates-cache/anstyle-1.0.10/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.10/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.10/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstyle-parse	0.2.0	0	|
anstyle-parse	0.2.1	0	|
anstyle	1.0.13	7	./crates-cache/anstyle-1.0.13/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.13/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.13/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstyle	1.0.11	7	./crates-cache/anstyle-1.0.11/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.11/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.11/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstyle-parse	0.2.3	0	|
anstyle	1.0.8	7	./crates-cache/anstyle-1.0.8/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.8/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.8/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstyle-parse	0.2.6	0	|
anstyle-query	1.0.2	0	|
anstyle-query	1.0.0	0	|
anstyle-query	1.1.2	0	|
anstyle-query	1.1.5	0	|
anstyle-query	1.1.4	0	|
anstyle-parse	0.2.7	0	|
anstyle-wincon	3.0.1	2	./crates-cache/anstyle-wincon-3.0.1/src/stream.rs:12:impl WinconStream for Box<dyn std::io::Write> {|./crates-cache/anstyle-wincon-3.0.1/src/stream.rs:23:impl WinconStream for &'_ mut Box<dyn std::io::Write> {||
anstyle-wincon	3.0.10	3	./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
anstyle-wincon	3.0.11	3	./crates-cache/anstyle-wincon-3.0.11/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.11/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.11/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
anstyle-wincon	3.0.6	3	./crates-cache/anstyle-wincon-3.0.6/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.6/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.6/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
anstyle-wincon	3.0.7	3	./crates-cache/anstyle-wincon-3.0.7/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.7/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.7/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
