clap_complete	4.5.58	40	./crates-cache/clap_complete-4.5.58/src/engine/custom.rs:44:pub struct ArgValueCompleter(Arc<dyn ValueCompleter>);|./crates-cache/clap_complete-4.5.58/src/engine/custom.rs:108:pub struct ArgValueCandidates(Arc<dyn ValueCandidates>);|./crates-cache/clap_complete-4.5.58/src/engine/custom.rs:152:pub struct SubcommandCandidates(Arc<dyn ValueCandidates>);|
concurrent-queue	2.5.0	0	|
copypasta	0.10.2	1	./crates-cache/copypasta-0.10.2/src/common.rs:17:pub type Result<T> = std::result::Result<T, Box<dyn Error + Send + Sync + 'static>>;||
clap_builder	4.5.48	28	./crates-cache/clap_builder-4.5.48/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.5.48/src/builder/value_parser.rs:74:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.5.48/src/builder/value_parser.rs:256:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
core-foundation	0.9.4	0	|
combine	4.6.7	29	./crates-cache/combine-4.6.7/examples/async.rs:89:    type Error = Box<dyn std::error::Error + Send + Sync>;|./crates-cache/combine-4.6.7/tests/buffered_stream.rs:29:    let int: &mut dyn Parser<_, Output = _, PartialState = _> =|./crates-cache/combine-4.6.7/tests/buffered_stream.rs:42:    let value: &mut dyn Parser<_, Output = _, PartialState = _> = &mut choice([|
core-graphics-types	0.1.3	0	|
core-graphics	0.23.2	5	./crates-cache/core-graphics-0.23.2/src/event.rs:418:    Box<dyn Fn(CGEventTapProxy, CGEventType, &CGEvent) -> Option<CGEvent> + 'tap_life>;|./crates-cache/core-graphics-0.23.2/src/event.rs:472:        Box<dyn Fn(CGEventTapProxy, CGEventType, &CGEvent) -> Option<CGEvent> + 'tap_life>,|./crates-cache/core-graphics-0.23.2/src/data_provider.rs:85:    pub unsafe fn from_custom_data(custom_data: Box<Box<dyn CustomData>>) -> Self {|
clap	4.5.48	3	./crates-cache/clap-4.5.48/examples/typed-derive/fn_parser.rs:13:fn parse_key_val<T, U>(s: &str) -> Result<(T, U), Box<dyn Error + Send + Sync + 'static>>|./crates-cache/clap-4.5.48/examples/typed-derive/custom.rs:73:    ) -> Option<Box<dyn Iterator<Item = clap::builder::PossibleValue> + '_>> {|./crates-cache/clap-4.5.48/examples/typed-derive/custom.rs:78:            let ps: Box<dyn Iterator<Item = clap::builder::PossibleValue> + '_> =|
core-foundation-sys	0.8.7	0	|
core-text	20.1.0	0	|
crc32fast	1.5.0	0	|
cursor-icon	1.2.0	0	|
crossfont	0.8.1	1	./crates-cache/crossfont-0.8.1/src/lib.rs:216:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {||
dirs-sys	0.5.0	0	|
cstr	0.2.12	0	|
dirs	6.0.0	0	|
crossbeam-utils	0.8.21	4	./crates-cache/crossbeam-utils-0.8.21/tests/thread.rs:100:        .downcast_ref::<Vec<Box<dyn Any + Send + 'static>>>()|./crates-cache/crossbeam-utils-0.8.21/tests/thread.rs:120:        .downcast_ref::<Vec<Box<dyn Any + Send + 'static>>>()|./crates-cache/crossbeam-utils-0.8.21/src/thread.rs:464:                let closure: Box<dyn FnOnce() + Send + 'env> = Box::new(closure);|
dispatch	0.2.0	0	|
dlib	0.5.2	1	./crates-cache/dlib-0.5.2/src/lib.rs:244:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {||
downcast-rs	1.2.1	16	./crates-cache/downcast-rs-1.2.1/src/lib.rs:177:    fn into_any(self: Box<Self>) -> Box<dyn Any>;|./crates-cache/downcast-rs-1.2.1/src/lib.rs:180:    fn into_any_rc(self: Rc<Self>) -> Rc<dyn Any>;|./crates-cache/downcast-rs-1.2.1/src/lib.rs:183:    fn as_any(&self) -> &dyn Any;|
dispatch2	0.3.0	16	./crates-cache/dispatch2-0.3.0/src/retained/forwarding_impls.rs:233:    fn source(&self) -> Option<&(dyn Error + 'static)> {|./crates-cache/dispatch2-0.3.0/src/generated/mod.rs:131:pub type dispatch_block_t = *mut block2::DynBlock<dyn Fn()>;|./crates-cache/dispatch2-0.3.0/src/generated/mod.rs:465:        block: &block2::DynBlock<dyn Fn(usize)>,|
dpi	0.1.2	0	|
equivalent	1.0.2	0	|
embed-resource	3.0.6	0	|
errno	0.3.14	0	|
error-code	3.3.2	0	|
