ebuild	crate	version	dyn_dispatch_count	sample_matches
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	dwrote	0.11.5	14	./crates-cache/dwrote-0.11.5/src/font_file_loader_impl.rs:83:    data: Arc<dyn AsRef<[u8]> + Sync + Send>,|./crates-cache/dwrote-0.11.5/src/font_file_loader_impl.rs:139:    pub fn new(key: usize, data: Arc<dyn AsRef<[u8]> + Sync + Send>) -> FontFileStream {|./crates-cache/dwrote-0.11.5/src/font_file_loader_impl.rs:198:        font_data: Arc<dyn AsRef<[u8]> + Sync + Send>,|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	glutin	0.32.3	13	./crates-cache/glutin-0.32.3/src/display.rs:55:    ) -> Result<Box<dyn Iterator<Item = Self::Config> + '_>>;|./crates-cache/glutin-0.32.3/src/display.rs:270:    ) -> Result<Box<dyn Iterator<Item = Self::Config> + '_>> {|./crates-cache/glutin-0.32.3/src/api/glx/config.rs:26:    ) -> Result<Box<dyn Iterator<Item = Config> + '_>> {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	aho-corasick	1.1.3	12	./crates-cache/aho-corasick-1.1.3/src/packed/teddy/builder.rs:330:    imp: Arc<dyn SearcherT>,|./crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	bytes	1.10.1	10	./crates-cache/bytes-1.10.1/benches/buf.rs:112:                    let buf: &mut dyn Buf =  &mut bufs[i]; |./crates-cache/bytes-1.10.1/benches/buf.rs:126:                    let buf = &mut buf as &mut dyn Buf; |./crates-cache/bytes-1.10.1/benches/buf.rs:139:                    let buf = &mut buf as &mut dyn Buf; |
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	anstyle	1.0.13	7	./crates-cache/anstyle-1.0.13/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.13/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.13/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	jobserver	0.1.34	6	./crates-cache/jobserver-0.1.34/tests/client.rs:23:    f: &'static (dyn Fn() + Send + Sync),|./crates-cache/jobserver-0.1.34/tests/client.rs:25:    rule: &'static (dyn Fn(&str) -> String + Send + Sync),|./crates-cache/jobserver-0.1.34/src/windows.rs:225:    mut f: Box<dyn FnMut(io::Result<crate::Acquired>) + Send>,|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	bumpalo	3.19.0	6	./crates-cache/bumpalo-3.19.0/src/boxed.rs:467:impl<'a> Box<'a, dyn Any> {|./crates-cache/bumpalo-3.19.0/src/boxed.rs:486:    pub fn downcast<T: Any>(self) -> Result<Box<'a, T>, Box<'a, dyn Any>> {|./crates-cache/bumpalo-3.19.0/src/boxed.rs:489:                let raw: *mut dyn Any = Box::into_raw(self);|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	home	0.5.11	5	./crates-cache/home-0.5.11/src/env.rs:46:pub fn home_dir_with_env(env: &dyn Env) -> Option<PathBuf> {|./crates-cache/home-0.5.11/src/env.rs:56:pub fn cargo_home_with_env(env: &dyn Env) -> io::Result<PathBuf> {|./crates-cache/home-0.5.11/src/env.rs:67:pub fn cargo_home_with_cwd_env(env: &dyn Env, cwd: &Path) -> io::Result<PathBuf> {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	hashbrown	0.16.0	5	./crates-cache/hashbrown-0.16.0/src/raw/mod.rs:1682:        eq: &mut dyn FnMut(usize) -> bool,|./crates-cache/hashbrown-0.16.0/src/raw/mod.rs:1895:    unsafe fn find_inner(&self, hash: u64, eq: &mut dyn FnMut(usize) -> bool) -> Option<usize> {|./crates-cache/hashbrown-0.16.0/src/raw/mod.rs:2631:        hasher: &dyn Fn(&mut Self, usize) -> u64,|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	core-graphics	0.23.2	5	./crates-cache/core-graphics-0.23.2/src/event.rs:418:    Box<dyn Fn(CGEventTapProxy, CGEventType, &CGEvent) -> Option<CGEvent> + 'tap_life>;|./crates-cache/core-graphics-0.23.2/src/event.rs:472:        Box<dyn Fn(CGEventTapProxy, CGEventType, &CGEvent) -> Option<CGEvent> + 'tap_life>,|./crates-cache/core-graphics-0.23.2/src/data_provider.rs:85:    pub unsafe fn from_custom_data(custom_data: Box<Box<dyn CustomData>>) -> Self {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	indexmap	2.11.4	4	./crates-cache/indexmap-2.11.4/tests/quick.rs:866:    fn shrink(&self) -> Box<dyn Iterator<Item = Self>> {|./crates-cache/indexmap-2.11.4/tests/quick.rs:891:    fn shrink(&self) -> Box<dyn Iterator<Item = Self>> {|./crates-cache/indexmap-2.11.4/src/arbitrary.rs:57:        fn shrink(&self) -> Box<dyn Iterator<Item = Self>> {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	gl_generator	0.14.0	4	./crates-cache/gl_generator-0.14.0/generators/debug_struct_gen.rs:190:                fn do_metaloadfn(loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void,|./crates-cache/gl_generator-0.14.0/generators/global_gen.rs:66:        fn metaloadfn(loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void,|./crates-cache/gl_generator-0.14.0/generators/global_gen.rs:289:            fn inner(loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void) {{|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	crossbeam-utils	0.8.21	4	./crates-cache/crossbeam-utils-0.8.21/tests/thread.rs:100:        .downcast_ref::<Vec<Box<dyn Any + Send + 'static>>>()|./crates-cache/crossbeam-utils-0.8.21/tests/thread.rs:120:        .downcast_ref::<Vec<Box<dyn Any + Send + 'static>>>()|./crates-cache/crossbeam-utils-0.8.21/src/thread.rs:464:                let closure: Box<dyn FnOnce() + Send + 'env> = Box::new(closure);|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	cc	1.2.40	4	./crates-cache/cc-1.2.40/src/command_helpers.rs:56:    pub(crate) fn print_metadata(&self, s: &dyn Display) {|./crates-cache/cc-1.2.40/src/command_helpers.rs:62:    pub(crate) fn print_warning(&self, arg: &dyn Display) {|./crates-cache/cc-1.2.40/src/command_helpers.rs:68:    pub(crate) fn print_debug(&self, arg: &dyn Display) {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	bytemuck	1.24.0	4	./crates-cache/bytemuck-1.24.0/tests/derive.rs:57:  a: dyn std::fmt::Debug,|./crates-cache/bytemuck-1.24.0/tests/derive.rs:60:type DynDebug = dyn std::fmt::Debug;|./crates-cache/bytemuck-1.24.0/tests/std_tests.rs:14:  struct DisplayTraitObj(dyn Display);|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	ahash	0.8.12	4	./crates-cache/ahash-0.8.12/src/hash_quality_test.rs:232:fn hash<H: Hash, T: Hasher>(b: &H, hash_builder: &dyn Fn() -> T) -> u64 {|./crates-cache/ahash-0.8.12/src/random_state.rs:113:        static RAND_SOURCE: OnceBox<Box<dyn RandomSource + Send + Sync>> = OnceBox::new();|./crates-cache/ahash-0.8.12/src/random_state.rs:172:            fn get_src() -> &'static dyn RandomSource {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	clap	4.5.48	3	./crates-cache/clap-4.5.48/examples/typed-derive/fn_parser.rs:13:fn parse_key_val<T, U>(s: &str) -> Result<(T, U), Box<dyn Error + Send + Sync + 'static>>|./crates-cache/clap-4.5.48/examples/typed-derive/custom.rs:73:    ) -> Option<Box<dyn Iterator<Item = clap::builder::PossibleValue> + '_>> {|./crates-cache/clap-4.5.48/examples/typed-derive/custom.rs:78:            let ps: Box<dyn Iterator<Item = clap::builder::PossibleValue> + '_> =|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	arrayvec	0.7.6	3	./crates-cache/arrayvec-0.7.6/tests/tests.rs:304:    &data as &dyn Send;|./crates-cache/arrayvec-0.7.6/tests/tests.rs:305:    &data as &dyn Sync;|./crates-cache/arrayvec-0.7.6/tests/tests.rs:549:    let t = || -> Result<(), Box<dyn Error>> {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	anstyle-wincon	3.0.10	3	./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	base64	0.22.1	2	./crates-cache/base64-0.22.1/examples/base64.rs:40:    let mut input: Box<dyn Read> = match opt.file {|./crates-cache/base64-0.22.1/src/decode.rs:70:    fn source(&self) -> Option<&(dyn error::Error + 'static)> {||
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	libloading	0.8.9	1	./crates-cache/libloading-0.8.9/src/error.rs:95:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {||
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	glutin_egl_sys	0.7.1	1	./crates-cache/glutin_egl_sys-0.7.1/src/egl.rs:236:    loadfn: &mut dyn FnMut(&'static str) -> *const __gl_imports::raw::c_void,||
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	dlib	0.5.2	1	./crates-cache/dlib-0.5.2/src/lib.rs:244:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {||
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	crossfont	0.8.1	1	./crates-cache/crossfont-0.8.1/src/lib.rs:216:    fn source(&self) -> Option<&(dyn std::error::Error + 'static)> {||
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	copypasta	0.10.2	1	./crates-cache/copypasta-0.10.2/src/common.rs:17:pub type Result<T> = std::result::Result<T, Box<dyn Error + Send + Sync + 'static>>;||
./gentoo-tree/x11-terms/alacritty/alacritty-0.16.1.ebuild	android-activity	0.6.0	1	./crates-cache/android-activity-0.6.0/src/util.rs:77:pub(crate) fn log_panic(panic: Box<dyn std::any::Any + Send>) {||
